question,answer
Are my earnings taxable?,"Since payouts are made via an American 3rd Party entity, commissions will not be taxed at our end."
What all payment methods can I select from?,"Impact Radius offers Electronic Bank Transfer (Wire Transfer) as a payment option for Affiliates based out of India whereas there are other options available to affiliates based in countries other than India, if you are one of them and want to know specific options for your country of residence feel free to write to us."
When do I get paid?,Commissions are paid when your account crosses a minimum of Rs.3200 in commissions.
How do I get the required links and banners to promote BigRock?,"All ad banners will be available in the â€œAdsâ€ section of your Impact Radius Dashboard, you can get their HTML codes and use the same on your websites."
What is a Tracking Link?,Tracking Links are basically links that allow us to track your actions and attribute commissions to you. Tracking links for a specific product landing page can be created using the â€œEnter Landing Pageâ€ cell in the Create a Link section on your dashboard.
Where do I update my bank details to receive commissions?,"You can update your bank details within your Impact Radius account itself. To do so, login to your Media Partner Account and follow the below listed steps: â€“ Click on â€œFinanceâ€ on the main navigation bar on the top â€“ Click on â€œWithdrawal Settingsâ€ â€“ Choose â€œIndiaâ€ as the Bank Location and fill in your correct details â€“ Select from the â€œPayment Scheduleâ€ options, the one that suits your preferences and click save Thats it! youâ€™re done. All your earnings will be wired to you as per the details entered here. Please make sure that the details are accurate and up to date. If you ever wish to change your bank details, you can update them in the â€œWithdrawal Settingsâ€ and click save."
Will I receive any support from BigRock for promoting the various products?,"Yes. BigRock will provide marketing collaterals like banners, mailers etc from time to time to help you sell BigRock Products."
Where should I put the banners and how can I grow my account?,Just reach out to our affiliate support team at [emailÂ protected] and theyâ€™ll be happy to work with you and share tips and tricks from top affiliates.
Can I bid on BigRock in paid search/SEM?,"No, please do not bid on the term â€œBigRockâ€ or itâ€™s typos in any format in paid search/SEM. You are welcome to bid on non-trademark and non-brand terms in paid search/SEM. Terms you cannot bid on include (but not limited to): â€“ BigRock â€“ Big rock â€“ BigRock domains â€“ BigRock domains .com â€“ BigRock india .com â€“ BigRock India domains â€“ BigRock domain registration â€“ BigRock domain registration India â€“ BigRock Hosting â€“ BigRock Email â€“ BigRock SiteBuilder â€“ BigRock DIY â€“ BigRock Digital Certificates â€“ BigRock Custom website Please view our affiliate terms here for more details."
What are the various payment options for my customers?,BigRock offers various modes of payment. You can use any of the below mentioned payment options: Netbanking Debit Card Credit Card PayPal Wire Transfer or Direct deposit Cheque Demand Draft
Who can I contact at BigRock for support?,"For any technical assistance, feel free to get in touch with our Support Team: â€“ Email: [emailÂ protected] â€“ Monday to Friday : 11AM â€“ 9 PM"
What is a domain name?,"A domain name is your websiteâ€™s address on the internet. Instead of remembering numbers like an IP address, people type in your domainâ€”like yourbusiness.com.comâ€”to find your site. Itâ€™s what helps your audience reach your website domain easily."
How does a domain name work?,"When someone types your domain name into a browser, it connects to a server that holds your website content. This is how visitors access your website domain. The entire process is tied together through domain registration, which links the name to your online presence."
Why Do You Need a Domain Name?,"You need a domain name to give people a simple way to find your website. Itâ€™s part of your identity online. When you buy domain name and complete your domain name registration, your brand becomes easier to trust and remember."
What is domain name registration?,"Domain name registration is the process of claiming a web address for your use. When you register domain name, you get ownership rights over it for a set period. The domain registration ensures no one else can use that name."
How does domain name registration work?,"Once you pick an available name, you fill in your details and pay a fee. We then complete the domain registration, and your domain name is linked to you. This entire domain name registration process usually takes just a few minutes."
What factors should you consider when selecting a domain name?,"Think about relevance, ease of use, and availability. Always choose a domain name thatâ€™s short, easy to remember, and brand-friendly. Before deciding, do a domain name search and run a domain name availability check to ensure itâ€™s not taken."
Why should I keep my domain name registered?,Keeping your domain name registered helps you maintain your online identity. It protects your brand and ensures no one else can take it. Itâ€™s smart domain ownership. Timely renewal after domain name registration ensures you continue to protect your domain.
What do I need in order to register a Domain Name or how to get a domain name?,"To register domain name, you need a name, your contact info, and a way to pay. Once you buy domain name, we handle the rest. The domain name registration is complete within minutes, and youâ€™ll receive confirmation"
What is the Domain Name Registration Process or how to buy a domain name?,"Start by searching your desired name. If itâ€™s available, add it to your cart, enter your details, and complete the payment. Thatâ€™s itâ€”your domain name registration is done! Youâ€™ve now successfully purchased a domain name, also known as a domain purchase."
Can I register more than one domain name at a time?,"Yes, absolutely! You can register domain name in bulk if you want to secure similar names or variations. Multiple domain registration is helpful if you want to protect your brand across different platforms or target audiences."
I don't have a website; can I still register a domain name?,"Yes, you can! Domain registration doesnâ€™t require an active website. You can reserve your name first and build your site later. Even if youâ€™re not ready to go live, itâ€™s smart to buy domain name early and secure your online identity. This works well for those who want a domain without website for now."
How much time do I need to wait after requesting for the registration of my domain name?,"Once you complete the domain registration process, your domain name registration is usually activated within minutes. In rare cases, it may take up to 24 hours due to technical or payment-related reasons."
How do I know if I have registered a Domain Name successfully?,"After completing your domain registration, youâ€™ll receive a confirmation email. You can also log in to your dashboard to check your domain confirmation details. A quick check domain registration lookup through WHOIS can also show your ownership."
How can I make changes to my Domain Names?,"Managing your domain is easy through your control panel. You can use our domain management tools to update name servers, contact details, and forwarding settings. Itâ€™s simple to change domain details or update domain name anytime you need."
Can I modify the DNS server information?,"Yes, you can. Through our dashboard, you get full DNS management control. You can modify DNS records, add custom entries, and adjust your domain DNS settings whenever needed."
Is web hosting included with my Domain Name registration?,"Not by default, but you can easily buy hosting when registering. Your domain and hosting can be purchased together, or you can use a third-party website hosting service after domain registration. Itâ€™s flexible based on your needs."
What is a Subdomain?,"A subdomain is a separate section of your website, like blog.yoursite.com. It helps you organize content better. Itâ€™s a part of your main domain, and you can create multiple ones under your existing domain structure using basic domain configuration settings."
"What Are TLD, CcTLD, and gTLD?","TLD stands for Top-Level Domainâ€”like .com or .net. ccTLD is a country-code version, like .in for India. gTLD refers to newer generic domains like .online. These domain types give you more options for branding."
I Already Have a Website Address. Can I Transfer It to Bigrock?,"Yes, absolutely. If your domain is registered elsewhere, you can start a domain transfer to BigRock. Our team makes it easy to transfer domain names and guides you through each step to move the domain to BigRock, ensuring no data or downtime is lost."
"What Is the Difference Between .com, .net, .org, and .info?","These are different domain extensions. .com is typically used for commercial purposes, .org is often suitable for nonprofit organizations, tech businesses commonly use .net, and .info is ideal for information-based websites. Our platform helps you with TLD comparison so you can choose domain extension that fits your brand best."
What Is the Difference Between a Domain Name and Web Hosting?,"A domain name is your websiteâ€™s address (like yoursite.com), while web hosting is where your website files are stored. Think of it as your shopâ€™s signboard versus the building. You need both. Thatâ€™s why many customers bundle domain vs hosting for a smoother experience."
Are there any benefits of registering a domain for a longer duration?,"Yes, a lot. Multi-year domain registration saves time, locks in pricing, and reduces the risk of forgetting to renew. A long-term domain registration also demonstrates commitment to your brand, which can enhance SEO and establish trust."
How can I check domain name availability?,"Use our domain name lookup tool . Simply type your idea and press search. We run an instant domain search to tell you if itâ€™s available and suggest similar names if itâ€™s taken. Itâ€™s quick, easy, and reliable."
What is ICANN and what role does it play in domain registration?,ICANN is the global authority that manages domain names. It sets the rules for domain registration and ensures fair practices. Our services follow ICANN domain regulation and stay updated with ICANN domain policies to keep your domain secure and compliant.
What happens if I forget to renew my domain name?,"If you donâ€™t renew on time, your domain may expire and become available for purchase by others. To avoid losing it, you can enable auto-renew domain settings in your dashboard. Regular domain renewal ensures you never lose ownership."
What is the Difference Between a Domain and a Premium Domain?,"A standard domain is usually available for regular prices. A premium domain is a high-value name thatâ€™s already owned by someone and is up for resale. These often have better branding potential and demand. The difference lies in the domain types, pricing, and domain value."
Why should I transfer my domains to BigRock?,"You need to first check if your current domain meets transfer requirements, then get an authorization code for domain transfer, and finally submit your domain for transfer."
What steps should I take before initiating the Domain Transfer process?,"In a domain transfer process, only the domain moves to BigRock . Other services, including email and hosting, are not automatically transferred to BigRock unless you choose to move them."
Are there any limitations when transferring domains?,"Before initiating the domain transfer process to another domain registrar, ensure that- ï‚§ Your Domain Privacy services on your domain name are disabled ï‚§ Your Registrant Email Address is accurate ï‚§ Remove any locks that may be applied to your domain name ï‚§ Get your domain nameâ€™s Auth-Code from your existing Domain Provider"
How much does it cost to transfer my domain name?,"You can transfer your domain to BigRock at an affordable rate, starting from â‚¹399/year, depending on the domain extension you choose. For instance, you can get a â€˜.comâ€™ extension for â‚¹859/year, while a â€˜ .net â€˜ extension can cost you â‚¹979/year."
How long does the domain transfer process usually take?,"Generally, a TLD (.com, .net , .org, etc.) domain transfer process takes anywhere between 7 to 14 days, once the transfer has been successfully submitted ."
Do I need to wait till my domain name is about to expire before transferring?,No. You can initiate the domain transfer process before expiration . BigRock encourages everyone to transfer their domain name well before expiry to avoid complications.
How long does it take for my premium name to be activated?,"Generally, premium domain name activation takes 5-7 days. But it extends to 2-3 weeks, depending on the domain registrar and seller of the domain name."
My domain has expired already. Should I renew it and then transfer it to BigRock?,"If your domain has expired with your old domain registrar and youâ€™ve renewed it with them, then do not transfer it within 45 days of the previous expiry date since it will not add one more year to your domain name, which usually happens when you renew domain names. Moreover, you will lose out on the Renewal fees paid to the older registrar."
Can I transfer my newly registered domain name to BigRock?,"ICANN & Registry regulations prohibit the transfer of domain names that have been registered within 60 Days . Therefore, please wait for 60 days from the date of domain name registration before applying for a transfer."
Iâ€™ve recently completed a domain transfer. Can I transfer my domain name a second time?,"ICANN & Registry regulations prohibit the transfer of domain names that have been transferred withi n 60 Days. So, wait for 60 days from the date of the previous transfer before applying for a new transfer."
Will my website go down during a domain name transfer?,"No, your website will not experience downtime throughout the domain transfer process. During the domain transfer process, your nameservers remain unchanged, which means that your websiteâ€™s accessibility will also remain uninterrupted."
What Domain Extensions support Domain Protect+?,Nearly all Domain Extensions support Domain Protect+. You can see the exceptions here .
For what duration can I buy Domain Protect+?,"Once purchased, Domain Protect+ is enabled till the expiry date of your domain name."
What is a Domain Suggestion Tool?,"A domain suggestion tool is an AI-powered tool that helps businesses find their perfect domain name. It gives you domain name suggestions based on the keywords you enter. The tool also suggests available domain names instantly, saving time and effort invested in brainstorming and domain name search."
What are the best alternatives to a .com domain?,"While .com was one of the first domain extensions to ever exist, many other TLDs have become popular in recent years. For instance, businesses targeting local markets often opt for country-specific extensions such as .in , .us , . co.uk, or more. In short, there are numerous alternatives to .com, offering tailored options for your business needs."
How does the BigRock.com AI domain name generator work?,"The BigRock.com AI domain name generator operates using OpenAI technology. Users can describe their business, and the generator suggests keyword-based domain names. Alternatively, users can request descriptive brand names."
What is a Domain Suggestion Tool?,"A domain suggestion tool is an AI-powered tool that helps businesses find their perfect domain name. It gives you d omain name suggestions based on the keywords you enter. The tool also suggests available domain names instantly, saving time and effort invested in brainstorming and domain name search."
Can a domain name generator suggest available domain names?,"Yes, the domain name generator can suggest available domain names. It combines AI technology with BigRockâ€™s expertise as a domain name provider, offering small businesses an efficient and tailored approach to finding relevant and available domain names."
What are the best alternatives to a .com domain?,"While .com was one of the first domain extensions to ever exist, many other TLDs have become popular in recent years. For instance, businesses targeting local markets often opt for country-specific extensions such as .in , .us , . co.uk, or more. In short, there are numerous alternatives to .com, offering tailored options for your business needs."
How do I use a domain name generator to find a brandable name?,"To find a brandable name using a domain name generator, you can update the prompt by specifying that you want an evocative brand name instead of using keywords. The generator will then provide suggestions based on brandable names that align with your business description."
Are the generated domain names or brand names already registered by someone else?,"The tool provides suggestions based on the given criteria, but it is up to the you to check the availability and register the domain name if desired."
Can I specify certain keywords or criteria for the generator to consider?,"Yes, you can specify certain keywords or criteria for the domain name generator to consider. By describing your business or website, you can guide the generator to suggest domain names that align with your specific preferences and requirements."
Can a domain name generator help me brainstorm ideas for my business or website?,"Yes, a domain name generator can help you brainstorm ideas for your business or website. By providing a few words to describe your business, the AI-powered Domain Name Generator offers the best ideas on domain names, saving you time and effort in the brainstorming process."
What should I do if I find a domain name or brand name I like generated by the tool?,"If you find a domain name or brand name you like generated by the tool, you should act quickly and register the domain! If itâ€™s available, you can register the domain here on BigRock."
Why should you buy premium domains?,"Honestly, it just makes life easier when people can remember your website. A good premium domain is short, clean, and sounds trustworthy , kind of like owning a prime location online. If youâ€™re starting a serious business or brand, having a solid name up front saves you trouble later . While youâ€™re at it, itâ€™s a good idea to check the domain price to see what works for your budget."
What distinguishes an ordinary domain from a premium domain?,"Itâ€™s mostly about quality. Regular domains are justâ€¦ available. Premium ones are often already owned, highly searched, or made up of strong words that people find easy to recall. Thatâ€™s why they cost moreâ€” theyâ€™re in demand for good reason."
What makes a domain premium?,"A domain is considered premium if itâ€™s a one-word .com addressing a valuable keyword that enhances trust and visibility. Think one-word domains, popular keywords, or names that are super brandable. These are hard to come by, and thatâ€™s what makes them â€œpremium.â€ Theyâ€™re basically the internet version of owning a great spot on a busy street."
How can I manage my Premium Domain?,You can manage your premium domain through your Big R ock â€™ s control panel like any other domain by customizing settings.
How much time does it take to activate my premium name?,Activation of a successfully registered premium domain typically takes 24-48 hours after full payment is received.
What happens if I donâ€™t get my premium name?,"If you donâ€™t get the premium domain you bid on, you will receive a refund of the amount you paid."
Is it worth buying a premium domain?,"Premium domains are an excellent investment for serious brands, but may not be appropriate for individuals and very small businesses."
Why are premium domains not cost-effective?,"Honestly, theyâ€™re not cheap. But theyâ€™re also not meant to be. Itâ€™s like buying property in a prime locationâ€” youâ€™re paying for visibility and reputation. For some people or businesses, that cost is totally worth it . For others, not so much."
How can I buy a premium domain?,"You can buy one through a marketplace, from a private owner, or sometimes directly through a registrar. Some domains have a set price, others go to auction. If youâ€™re serious about one, act fastâ€”these things get snapped up quickly."
Is ownership of a premium domain permanent?,"Yes, ownership of a registered premium domain is permanent as long as you continue paying the annual renewal fees."
Can I transfer my premium domain to another registrar?,Most premium domains can be transferred between accredited registrars by following standard domain transfer procedures.
How do I update my WHOIS information?,"Enter your BigRock account, visit the domain management panel and update your contact information. Make the information correct in order to remain on the same side as the rules of the domain."
Whoâ€™s in Charge of the WHOIS Database?,The WHOIS database is managed by ICANN and domain registrars like BigRock . They ensure the data is stored and accessible for legitimate use.
How Accurate is WHOIS Data?,"WHOIS data is accurate if the domain owner provides the correct details. However, some owners use privacy services, which may hide certain information."
How do I use the WHOIS Lookup tool?,"Enter the domain name in BigRockâ€™s WHOIS lookup tool. Youâ€™ll instantly see details like the ownerâ€™s contact info and registration dates, if available."
What is the WHOIS Database?,"The WHOIS database is a public record of domain names. It stores details about who owns a domain, when it was registered, and more."
What kind of information is stored in the WHOIS database?,"It includes the domain ownerâ€™s name, contact details, registration date, expiry date, and registrar information. Privacy settings may limit some data."
Why choose Bigrockâ€™s WHOIS lookup services?,"BigRockâ€™s WHOIS tool is fast, reliable, and easy to use. It provides accurate domain details to help you make informed decisions."
How can I make my information private with Domain Protect+ from Bigrock?,"Enable Domain Protect+ through your BigRock account. It hides your details in the WHOIS database, keeping your information secure."
What is WHOIS Lookup?,Itâ€™s a way to find out who owns a domain and other details like registration dates. BigRockâ€™s WHOIS check makes this process simple.
How it Works,Type a domain name into BigRockâ€™s WHOIS tool. The tool searches the database and shows available details in seconds.
Is WHOIS data publicly accessible?,"Yes, WHOIS data is generally public , but privacy services like Domain Protect+ can hide personal details. Access depends on the domainâ€™s settings."
Why should I use a WHOIS lookup?,"A WHOIS domain lookup helps verify domain ownership, check availability, or investigate issues like fraud. Itâ€™s a must for businesses and individuals."
How often is WHOIS information updated?,"WHOIS data updates when the domain owner or registrar changes details. This can happen anytime, but accuracy depends on timely updates."
How do I enable CloudFlare on my website?,"To enable CloudFlare, you will need to: Step 1: Log in to your hosting control panel (e.g. cPanel). Step 2: Navigate to the Software or Security section and click Cloudflare. Step 3: Create a Cloudflare account (if needed), add your domain, then follow the prompts to activate."
What is CloudFlare?,"CloudFlare is a leading Content Delivery Network (CDN) and security platform. It sits between visitors and your BigRock servers , delivering cached content from data centers worldwide to improve loading speeds and reduce latency. Cloudflare also offers DDoS protection and a Web Application Firewall (WAF), ideal if you serve audiences across regions like India or the U.S."
What is Linux Shared Hosting?,"Linux Shared Hosting runs on a Unix-based operating system suitable for PHP, MySQL, Python, Ruby, and more. Itâ€™s cost-effective because multiple users share a single serverâ€™s resources. You get secure, stable hosting with features like cPanel, email hosting, and one-click application installers. Perfect for small business es or personal websites."
What is Shared Hosting?,"Shared Hosting allows multiple websites to reside on a single server, sharing CPU, RAM, and disk space. This model keeps costs low, making it ideal for startups or low-traffic sites. Itâ€™s beginner-friendly and includes essentials like email, domain pointing, free SSL, and 24/7 support."
What is the difference between Linux Hosting on India and US servers?,"The only key difference is server location, which impacts latency. If your audience is in India or the Asia-Pacific region, choose an India-based server. For visitors based in the U.S., select a U.S. server for faster response times."
Is Cloud Hosting better than Shared Web Hosting?,"Shared Hosting is cheaper and sufficient for low-traffic sites. Cloud Hosting, however, provides better scalability and performanceâ€”it uses SSD storage, dedicated CPU/RAM, and can handle traffic spikes seamlessly. Cloud plans also often include global CDN integration and higher reliability."
How do I choose between Linux and Windows Shared Website Hosting?,"While there are multiple parameters that will determine your decision, certain server-side applications require specific support from Linux or Windows. Choose Windows Hosting if youâ€™re using ASP, ASP.NET, IIS, or MSSQL-based applications. Linux Hosting is ideal for PHP-based sites like WordPress, Joomla, or HTML/CSS applications."
How can I build my website?,"With Linux Shared Hosting, you can use Softaculous to install popular CMSs like WordPress, Joomla, or Drupal in 1 click. You can also upload your custom code (PHP, Python, Ruby, HTML/CSS) via FTP. BigRock includes drag-and-drop builders like SitePad in your plan as well."
Can I transfer my existing website to BigRock?,"Yes. BigRock supports migrating your website from another provider. If youâ€™re using platforms like WordPress, Joomla, or Drupal, the migration is seamless and typically completed without downtime. If needed, contact support to assist ."
Can I host multiple websites within one Shared Hosting plan?,"Yes. With plans like the â€œProâ€ or â€œUltimateâ€ levels, you can host multiple websites using unlimited addon domains via your control panel and enable unlimited email accounts."
Does the Control Panel include a website builder?,"Yes. The hosting plan includes SitePad Website Builder , a drag-and-drop editor available via Softaculous , ideal for quickly creating a static or blog site without coding."
Is SSH access available with Shared Hosting?,"Yes. Linux Shared Hosting plans typically include SSH access, allowing secure shell access to your hosting environment for advanced users."
Is Email hosting included in my plan?,"Yes. You get professional email hosting with multiple mailbox creation and a 10â€¯GB storage limit per account. For advanced business email solutions, you can upgrade to Google Workspace or BigRockâ€™s Business Email Hosting ."
What is the backup policy? How can I get website backup?,"BigRock strongly recommends that you keep your own backups. While weekly backups are available, you should purchase CodeGuard (paid add-on) for automated backups and easy restores of your database and files."
What is Softaculous and How Do I Use It?,"Softaculous is a one-click installer that simplifies installing web apps like WordPress, Joomla, or Drupal. To install apps through Softaculous, you need to: Step 1: Log in to your cPanel. Step 2: Navigate to Softaculous Apps Installer. Step 3: Select the application and click Install , then complete the setup form."
How to install WordPress using Softaculous?,"To install WordPress with Softaculous, you need to: Step 1: Log in to your hosting control panel Step 2: Go to the Software section and open Softaculous Apps Installer. Step 3: Select â€˜WordPressâ€™ and click â€˜Install Nowâ€™ Step 4: Fill the necessary details and hit â€˜Installâ€™"
Is there a Money Back Guarantee?,"Yes. BigRock offers a 30-day Money Back Guarantee on Shared Hosting, Cloud Hosting, and other web hosting plansâ€”so you can try their services risk-free."
How does Linux Hosting work?,"Linux Hosting runs on the Linux operating system. It serves as the source of storage and management for websites that people can visit whenâ€‚they go online. Linux is relied upon because itâ€™s quick, solid, and plays well with languages, such as PHP, which is popular for constructing websites."
Why choose Linux Hosting over Windows Hosting?,"Linux Hosting is usually cheaper, and itâ€™s quite safe. It is also compatibleâ€‚with a range of open-source tools and platforms, including WordPress. Since several systems are designed to run on Linux, everything just tendsâ€‚to work better and faster."
What are the benefits of Linux Hosting for developers?,"Many developers like Linux Hosting because it gives them more freedom. They can use command-line tools, run different scripts, and work with many types of programming languages. Itâ€™s flexible and reliable for coding projects."
Can I host multiple websites on a Linux Hosting plan?,You can host an unlimited number of websites withâ€‚some of our Advanced or Pro plans. Itâ€™s ideal if you run more than one site or if you anticipate growth.
How secure is Linux Hosting?,"Itâ€™s very safe. Linux has strong security rules built into it. They can protect your site from threats. We also add more layers of protection, like firewalls and 24/7 monitoring , to keep your data secure."
What is Linux Web Hosting?,"It refers to web hosting services that run on Linux servers. Itâ€™s ideal for websites that require stability and high uptime. It offers excellent support for PHP, MySQL, and open-source applications."
What is web hosting and how does it work?,Web hosting refers to a physical or virtual server that makes your website available and accessible on the internet. It stores your websiteâ€™s files and important data and sends it to the computer every time someone searches for your website .
